mdb_source_id,Transitland ID,Transit Feeds ID
1,f-dry0-cascobayislandtransitdistrict,casco-bay-lines/1153
2,,london-transit-commission/831
3,f-dpzk-barrietransit,barrie-transit/522
4,,athens-public-transit/298
5,f-st~lawrence~county~ny,
6,f-69y7-recursosdatabuenosairesgobar,subterraneos-de-buenos-aires/541
7,,empresa-publica-de-transportes-e-circulacao/532
8,f-6gy-sptrans,sptrans/1049
9,f-7h2w-empresadetransportesetransitodebelohorizontes~a,bhtrans/640
10,f-87z-thebus,thebus-honolulu/57
11,f-9-amtrak~amtrakcalifornia~amtrakcharteredvehicle,amtrak/1136
12,f-9mgve-avalon~ca~us,avalon-transit/951
13,"f-9mu-mts, f-9mu-mts~sandiegointernationalairport",san-diego-mts/195
14,f-9mu-northcountytransitdistrict,nctd/194
15,f-9mu-orangecountytransportationauthority,orange-county-transportation-authority/197
16,f-9muq-lagunabeach~ca~us,laguna-beach-transit/402
17,f-9my-ycat,yuma-county-intergovernmental-public-transportation-authority/335
18,f-9myr-paloverdevalley~ca~us,palo-verde-valley-transit-agency/679
19,f-9pp-humboldtcounty~ca~us,"arcata-mad-river-transit-system/148, blue-lake-rancheria-transit-system/1142"
20,f-9pr-delnorte~ca~us,redwood-coast-transit/599
21,,coos-county-area-transit/458
22,,curry-public-transit/460
23,,lincoln-county-transit/470
24,,rhody-express/476
25,f-9q-easternsierra~ca~us,eastern-sierra-transit/602
26,f-9q4-smat~ca~us,santa-maria-area-transit/760
27,f-9q5-airportvaletexpress~ca~us,airport-valet-express/773
28,f-9q5-dpwlacounty~ca~us,la-go-bus/1250
29,f-9q5-metro~losangeles,la-metro/184
30,f-9q5-metro~losangeles~rail,la-metro/677
31,f-9q5-vctc~ca~us,ventura-county-transportation-commission/792
32,f-9q54-goldcoasttransit,gold-coast-transit/339
33,f-9q56-thousandoaks~ca~us,thousand-oaks-transit/685
34,f-9q5b-torrancetransit,city-of-torrance/388
35,f-9q5b4-pvpta~ca~us,palos-verdes-peninsula-transit-authority/603
36,f-9q5bf-lawndale~ca~us,lawndale-beat/1253
37,f-9q5c-bigbluebus,city-of-santa-monica/260
38,f-9q5c-culvercitybus,culver-city-bus/1057
39,f-9q5cx-montereypark~ca~us,spirit-bus/757
40,f-9q5d-707,simi-valley-transit/905
41,f-9q5f-pasadenatransit,pasadena-transit/1053
42,f-9q6-kcapta~ca~us,kings-area-rural-transit/1026
43,f-9q6-sanluisobisporegionaltransitauthority~pasoroblesexpress~so,san-luis-obispo-rta/710
44,f-9q60w-cityofsanluisobispotransit,city-of-san-luis-obispo/709
45,f-9q611-morrobaytransit,
46,f-9q7-getbus,golden-empire-transit-district/340
47,f-9q7-kerncounty~ca~us,kern-transit/401
48,f-9q7m-portervilletransit,
49,f-9q8-samtrans,samtrans/144
50,f-9q8y-sfmta,sfmta/60
51,f-9q8yy-missionbaytma~ca~us,mission-bay-tma/952
52,f-9q8zr-tidelinewatertaxi~ca~us,tideline-water-taxi/756
53,f-9q9-bart,bart/58
54,f-9q9-caltrain,caltrain/122
55,f-9q9-modesto~ca~us,modesto-area-express/1280
56,f-9q9-monterey~salinastransit,monterey-salinas-transit/854
57,f-9q9-vta,vta/45
58,f-9q99-sanbenito~ca~us,san-benito-county-express/491
59,f-9q9h-stanford~marguerite,stanford-marguerite-shuttle/736
60,f-9q9hy-mountainview,mvgo/754
61,f-9q9j-commute~ca~us,commute-org-san-mateo-county-shuttles/1055
62,,golden-gate-bridge-highway-transportation-district/344
63,f-9q9p3-emerygoround,emery-go-round/769
64,f-9q9q-wheelsbus,livermore-amador-valley-transit-authority/701
65,f-9q9y-escalon~ca~us,city-of-escalon/601
66,f-9qb-airportexpressinc~ca~us,
67,f-9qb-goldengatetransit,golden-gate-bridge-highway-transportation-district/349
68,f-9qb-laketransit~ca~us,lake-transit-authority/598
69,f-9qb-mendocino~ca~us,"mendocino-transit-authority-mendocino-county/416, mendocino-transit-authority/205"
70,f-9qb-sonomacounty~ca~us,sonoma-county-transit/419
71,f-9qbb-marintransit,marin-transit/345
72,f-9qbc9-petalumatransit~petaluma~ca~us,petaluma-transit-gtfs/675
73,f-9qbdx-santarosacitybus,
74,f-9qc-capitolcorridor,capitol-corridor/825
75,f-9qc-eldoradotransit~ca~us,el-dorado-transit/680
76,f-9qc-fairfield~ca~us,fairfield-and-suisun-transit/337
77,f-9qc-placercountytransit,placer-county-transit/1140
78,f-9qc-westcat~ca~us,westcat/682
79,f-9qc-yubasutter~ca~us,yuba-sutter-transit/154
80,f-9qc0-soltrans~ca~us,soltrans/666
81,f-9qc3-datatrilliumtransitcom,rio-vista-delta-breeze/526
82,f-9qc7-unitransdavis,unitrans/301
83,f-9qcbb-cityofloditransit~grapeline,city-of-lodi-grapeline/711
84,f-9qcy-nevadacountygoldcountrystage,gold-country-stage/749
85,f-9qd-fresnocounty~ca~us,fresno-county-rural-transit-agency/338
86,f-9qd-mercedthebus~ca~us,merced-transit-authority/605
87,f-9qd-stanislaus~ca~us,stanislaus-regional-transit/493
88,f-9qd-yosemite~ca~us,yosemite-area-regional-transportation-system/155
89,f-9qdc-clovistransit~ca~us,clovis-transit/1249
90,f-9qdc-gis4ufresnogov,fresno-area-express/315
91,f-9qdd-maderaareaexpress~ca~us,madera-area-express/1038
92,f-9qf-amador~ca~us,amador-transit/390
93,f-9qf-calaveras~ca~us,calaveras-transit/399
94,f-9qf-laketahoe~ca~us,tahoe-area-regional-transit/389
95,f-9qfyf-jumparoundcarson,
96,f-9qh-metrolinktrains,metrolink/332
97,f-9qh-omnitrans,omnitrans/304
98,f-9qh-riversidetransitagency,riverside-transit-agency/531
99,f-9qh-victorville~ca~us,victor-valley-transit-authority/350
100,f-9qh0-anaheim~ca~us,anaheim-resort-transportation/410
101,f-9qh1-foothilltransit,foothill-transit/506
102,f-9qh1-norwalktransitsystem,norwalk-transit-system/846
103,f-9qh1f-elmontetransit,el-monte-transit/903
104,f-9qh2s-corona~ca~us,corona-cruiser/400
105,f-9qh45-duartetransit~ca~us,duarte-transit/759
106,f-9qhc-beaumont~ca~us,pass-transit/391
107,f-9qhf-bigbear~ca~us,mountain-transit/600
108,f-9qj-sunlinetransitagency,sunline-transit-agency/348
109,f-9qnx-bullheadareatransit~az~us,bullhead-area-transit-system/670
110,f-9qqj-rtcsnv,rtc-southern-nevada/47
111,f-9qx5-suntran,
112,,people-mover-grant-county/475
113,f-9r-sagestage,sage-stage/479
114,f-9r0-redding~ca~us,redding-area-bus-authority/346
115,f-9r0-trinity~ca~us,trinity-county-transportation-commission/428
116,f-9r1-tehama~ca~us,tehama-rural-area-express/494
117,f-9r2-siskiyou~ca~us,siskiyou-transit-and-general-express/492
118,f-9r4-lassen~ca~us,lassen-rural-bus/414
119,f-9r4-plumas~ca~us,plumas-transit/418
120,f-9r4-rtcride,rtc-washoe/46
121,f-9r8-josephinecounty~or~us,josephine-county-transit/469
122,f-9r88-rogue~valley~transportation~district,rogue-valley-transportation-district/478
123,,utrans/486
124,f-9r9-craterlaketrolley~or~us,
125,f-9r92-basin~or~us,basin-transit-service/468
126,f-9rb-benton~or~us,benton-county-transportation/438
127,f-9rb-caravan~or~us,caravan-airport-transportation/439
128,f-9rb-cherriots,cherriots/279
129,f-9rb-citytocityshuttle~or~us,city-2-city-shuttle/772
130,f-9rb-diamondexpress~or~us,diamond-express/461
131,f-9rb-lanetransitdistrict,lane-transit-district/314
132,f-9rb-oregonexpressshuttle,oregon-express-shuttle/902
133,f-9rb-pacificcrest~or~us,"pacific-crest-bus-lines/910, tac-transportation/464"
134,,south-lane-wheels/481
135,f-9rbm-albanytransit~or~us,linn-benton-loop-bus/472
136,f-9rbm-corvallis~or~us,corvallis-transit-system/459
137,f-9rbs-linnshuttle~or~us,linn-shuttle/471
138,f-9rc-cascadeseast~or~us,cascades-east-transit/440
139,f-9rc-cobreeze~or~us,central-oregon-breeze/771
140,f-9rc-eugenetobend~or~us,tac-transportation/464
141,,malheur-council-on-aging-community-services/676
142,f-9rv2-valleyride,valleyride/889
143,f-9ry8-mountainridestransportationauthoritymrta,mountain-rides-transportation-authority/371
144,f-9t9-suntran,suntran-tucson/584
145,f-9t9e-cityofsierravista,
146,f-9t9p7-universityofaz~cattran~freeshuttleservice,cat-tran-shuttle/904
147,f-9tb-valleymetro,valley-metro/68
148,f-9tsk-sunmetro,sun-metro/620
149,f-9tvbk-carlsbadmunicipaltransitsystem,
150,f-9v6-capitalmetro,capital-metro/24
151,f-9vfu-dentoncountytransportationauthority,denton-county-transportation-authority/1085
152,f-9vg-dallasarearapidtransit,dart/26
153,f-9vg3-startransit~tx~us,star-transit/745
154,f-9vk-metropolitantransitauthorityofharriscounty,metro/25
155,f-9vxz-jatran~ms~us,jatran/555
156,f-9w-arizonashuttle~az~us,
157,f-9w-navajotransitsystem,
158,f-9w0md-cottonwood~az~us,cottonwood-area-transit/242
159,f-9w0q-verdelynx~az~us,verde-lynx/245
160,f-9we1-redappletransit~nm~us,red-apple-transit/766
161,f-9wfy-grandvalleytransit,grand-valley-transit/1308
162,f-9wg-rfta,roaring-fork-transportation-authority/907
163,f-9wgu-gunnisonvalleyrta,gunnison-valley-rta/1309
164,f-9wgzn-741,snowmass-village-transportation/930
165,f-9wh-riometroregionaltransitdistrict,
166,f-9whp-abqride,abq-ride/52
167,f-9wk-sandiashuttle~nm~us,
168,f-9wv-coloradoshuttle~co~us,
169,f-9x-bustang~co~us,bustang/770
170,f-9x0-uta,utah-transportation-authority/59
171,f-9x8-pocatelloregionaltransit,pocatello-regional-transit/1157
172,f-9xh-cme~co~us,colorado-mountain-express/900
173,f-9xh-ecotransit~co~us,eco-transit/753
174,f-9xh3-vailtransit,vail-transit/901
175,,winter-park-transit/1027
176,f-9xhv-nps~romo~shuttles,national-park-service/619
177,,estes-park-transit/1285
178,f-9xj-rtd,rtd-denver/188
179,,transfort/508
180,f-9xj5s-viamobilityservices~co~us,via-mobility/1023
181,f-9xj5sg-universitycoloradoboulder~co~us,university-of-colorado-boulder/1028
182,f-9y68-clevelandarearapidtransitcart,
183,f-9y69-embark,embark/520
184,f-9y7v-metropolitantulsatransitauthority,tulsa-transit/521
185,f-9ydy-wichitatransit,wichita-transit/597
186,f-9yreb-jet,
187,f-9yu-kcata,kansas-city-area-transportation-authority/382
188,f-9yum-kuonwheels~lawrencetransitsystem,
189,f-9yz-jeffersoncounty~mo~us,jeffco-express/393
190,f-9yzg-metrostlouis,bi-state-development-agency/381
191,f-9ze3-755,sioux-city-transit-system/940
192,f-9zep-siouxareametro~sd~us,sioux-area-metro/361
193,f-9zmk-desmoinesarearegionaltransitauthority,des-moines-area-regional-transit-authority/539
194,f-9zmzj-767,marshalltown-municipal-transit/938
195,f-9zq4g-762,10-15-transit/936
196,f-9zqv-coralvilletransitsystem~ia~us,coralville-transit/1025
197,f-9zqvh-cambus~ia~us,cambus/1024
198,f-9zqy-cedarrapidstransit,cedar-rapids-transit/906
199,f-9zr0n-759,burlington-urban-service/943
200,f-9zr78-muscabus,muscabus/911
201,f-9zrs-metrorockislandcountymetropolitanmasstransitdistrict,
202,f-9zry5-clintonmta,clinton-mta/937
203,f-9zt1b-dodgerarearapidtransit,dodger-area-rapid-transit/912
204,f-9ztt-masoncitypublictransit,mason-city-public-transit/939
205,f-9zv-twin~cities~minnesota,"metro-transit/1284, metro-transit/179"
206,f-9zvw-mvta~metro,minnesota-valley-transit-authority/177
207,f-9zx9-thejule,
208,f-9zyy-eauclairetransit,
209,f-academy~express~staten~island,
210,f-acrta~oh~us,
211,f-alhambra~ca~us,alhambra-community-transit/1312
212,f-allpointstransit~co~us,all-points-transit/1274
213,f-amarillo~city~transit,amarillo-city-transit/1150
214,f-antelope~valley~transit~authority,
215,f-arcadia~ca~us,arcadia-transit/1344
216,f-arvin~ca~us,arvin-transit/1310
217,f-auburntransit~ca~us,auburn-transit/1271
218,f-avon~co~us,"avon-transit-colorado/1267, avon-transit/1258"
219,f-baldwinpark~ca~us,baldwin-park-transit/1342
220,f-banning~pass~transit,
221,f-barta~pa,
222,f-baton~rouge~cats,
223,f-bay~area~transportation~authority~mi,bay-area-transit-authority/1144
224,f-bay~transit~va,
225,f-bdvk-anchoragepeoplemover,people-mover/370
226,f-beartransit~ca~us,bear-transit/1345
227,f-bellflower~ca~us,bellflower-bus/1316
228,f-bellgardens~ca~us,bell-gardens-trolley/1313
229,f-benson~az~us,
230,f-bentcounty~co~us,bent-county-transportation/1283
231,f-bethesdacirculator~md~us,
232,f-bew-fairbanksnorthstarborough~macstransit,macs-transit/634
233,f-birnie~bus,
234,f-blackhawktramway~co~us,blackhawk-and-central-city-tramway/1282
235,f-blackstone~va~us,
236,f-blossomexpress~ca~us,blossom-express/1303
237,f-breckenridgefreeride~co~us,breckenridge-free-ride/1270
238,f-bristol~va~us,
239,f-broome~county~ny~us,
240,f-butler~county~rta,butler-county-regional-transit-authority/1158
241,f-butte~regional~transit,
242,f-c0r-pacifictransit,pacific-transit/783
243,f-c1f-interisland~ak~us,inter-island-ferry/908
244,f-c1f6-thebus~ketchikangatewayborough~airportferry,ketchikan-gateway-borough/775
245,f-c2-appleline~goldline~dungenessline~grapeline,
246,f-c20-tillamook~or~us,"cc-rider/444, sunset-empire-transportation-district/483, the-wave/485"
247,f-c20-trimet,trimet/43
248,f-c20-wilsonville~or~us,wilsonville-transit/429
249,f-c20-wotm~wa~us,
250,,yamhill-county-transit-area/490
251,,woodburn-transit-service/489
252,f-c209-canbytransit~or~us,canby-area-transit/608
253,f-c20d-rideconnection~or~us,ride-connection/477
254,,washington-park-shuttle/758
255,,swan-island-evening-shuttle/484
256,f-c20f-bluestar~or~us,blue-star-transportation/437
257,f-c20f-cccxpress~or~us,ccc-xpress/669
258,f-c20g-c~tran,"c-tran/282, c-tran-vancouver/1013"
259,f-c20w-rivercitiestransit~wa~us,rivercities-transit/607
260,,columbia-area-transit/443
261,,"sandy-area-metro/480, mt-hood-express/473"
262,f-c215-gorgewet~wa~us,skamania-county-public-transit/678
263,f-c22-graysharbortransit,
264,f-c22-mason~wa~us,mason-transit/590
265,f-piercecountyferries~wa~us,pierce-transit/448
266,f-c22e-intercitytransit,intercity-transit/356
267,f-c23-metrokingcounty,king-county-metro/73
268,f-c23-soundtransit,sound-transit/44
269,f-c23n-microsoftshuttles,
270,f-c23p1-seattlechildrenshospitalshuttle,seattle-children-s-hospital/456
271,f-c24-peopleforpeople,
272,f-c25-ctuir~or~us,confederated-tribes-of-the-umatilla-indian-reservation/457
273,f-c25p-benfranklintransit,ben-franklin-transit/915
274,f-c25v-milton~freewater~or~us,city-of-milton-freewater/442
275,f-c26-linktransit~wa~us,link-transit/392
276,f-c26-yakimatransit,yakima-transit/153
277,f-c262f-uniongaptransit,union-gap-transit/881
278,f-c263-selah~wa~us,selah-transit/1029
279,f-c28-clallamtransitsystem,
280,f-c28-islandtransit,
281,f-c28-pugetsoundexpress,
282,f-c28-thevictoriaclipper,the-victoria-clipper/800
283,f-c28-washingtonstateferries,washington-state-ferries/586
284,f-c28-whatcomtransportationauthority,
285,f-c283-jamestownsklallam,
286,f-c284-blackballferryline,
287,f-c29-communitytransit,community-transit/454
288,f-c290-everetttransit,everett-transit/455
