mdb_source_id,data_type,location.country_code,location.subdivision_name,location.municipality,provider,name,urls.direct_download,urls.latest,urls.license,location.bounding_box.minimum_latitude,location.bounding_box.maximum_latitude,location.bounding_box.minimum_longitude,location.bounding_box.maximum_longitude,location.bounding_box.extracted_on,Transitland ID,Transit Feeds ID
2,gtfs,CA,Ontario,London,London Transit Commission,,http://www.londontransit.ca/gtfsfeed/google_transit.zip,https://storage.googleapis.com/storage/v1/b/mdb-latest/o/ca-ontario-london-transit-commission-gtfs-2.zip?alt=media,https://www.londontransit.ca/open-data/ltcs-open-data-terms-of-use/,42.905244,43.051188,-81.36311,-81.137591,2022-02-22T19:51:34+00:00,,london-transit-commission/831
4,gtfs,US,Ohio,Athens,Athens Public Transit,,https://transitfeeds.com/p/athens-public-transit/298/latest/download,https://storage.googleapis.com/storage/v1/b/mdb-latest/o/us-ohio-athens-public-transit-gtfs-4.zip?alt=media,,39.295665,39.3992,-82.141964,-82.027972,2022-03-23T14:43:11+00:00,,athens-public-transit/298
7,gtfs,BR,Rio Grande do Sul,Porto Alegre,Empresa Publica de Transportes e Circulação (EPTC),,https://dadosabertos.poa.br/dataset/1fe9c2c1-9fbe-48ea-841b-61e30597ecd6/resource/b3bce61f-78ee-49eb-be57-6236d82bd5e0/download/outputfiles.zip,https://storage.googleapis.com/storage/v1/b/mdb-latest/o/br-rio-grande-do-sul-empresa-publica-de-transportes-e-circulacao-eptc-gtfs-7.zip?alt=media,http://datapoa.com.br/dataset/gtfs,-30.241904,-29.970497,-51.280762,-51.02079,2022-03-14T20:03:02+00:00,,empresa-publica-de-transportes-e-circulacao/532
21,gtfs,US,Oregon,Coos Bay,Coos County Area Transit (CCAT),,http://oregon-gtfs.com/gtfs_data/cooscounty-or-us/cooscounty-or-us.zip,https://storage.googleapis.com/storage/v1/b/mdb-latest/o/us-oregon-coos-county-area-transit-ccat-gtfs-21.zip?alt=media,,42.87881944,43.982245,-124.434431,-123.345208,2022-03-14T20:06:40+00:00,,coos-county-area-transit/458
22,gtfs,US,Oregon,Brookings,Curry Public Transit,,https://oregon-gtfs.trilliumtransit.com/gtfs_data/currypublictransit-or-us/currypublictransit-brookings-or-us.zip,https://storage.googleapis.com/storage/v1/b/mdb-latest/o/us-oregon-curry-public-transit-gtfs-22.zip?alt=media,,41.9570322655811,43.4160571073338,-124.498078553064,-124.203528654532,2022-03-14T20:06:46+00:00,,curry-public-transit/460
23,gtfs,US,Oregon,Newport,Lincoln County Transit  (LCT),,http://oregon-gtfs.com/gtfs_data/lincolncounty-or-us/lincolncounty-or-us.zip,https://storage.googleapis.com/storage/v1/b/mdb-latest/o/us-oregon-lincoln-county-transit-lct-gtfs-23.zip?alt=media,,44.3116263048855,45.01935811,-124.105422953253,-123.10286,2022-03-14T20:06:48+00:00,,lincoln-county-transit/470
24,gtfs,US,Oregon,Florence,Rhody Express,,http://oregon-gtfs.com/gtfs_data/rhodyexpress-or-us/rhodyexpress-or-us.zip,https://storage.googleapis.com/storage/v1/b/mdb-latest/o/us-oregon-rhody-express-gtfs-24.zip?alt=media,,43.9663292158148,44.00783688,-124.118156,-124.086991158899,2022-03-14T20:06:49+00:00,,rhody-express/476
62,gtfs,US,California,San Francisco,San Francisco Bay Area Water Emergency Transportation Authority (San Francisco Bay Ferries),,http://data.trilliumtransit.com/gtfs/sfbayferry-ca-us/sfbayferry-ca-us.zip,https://storage.googleapis.com/storage/v1/b/mdb-latest/o/us-california-san-francisco-bay-area-water-emergency-transportation-authority-gtfs-62.zip?alt=media,http://assets.511.org/pdf/nextgen/developers/511_Data_Agreement_Final.pdf,37.662676,38.10127,-122.41209,-122.25692,2022-03-14T20:09:17+00:00,,golden-gate-bridge-highway-transportation-district/344
112,gtfs,US,Oregon,,People Mover,,http://oregon-gtfs.com/gtfs_data/peoplemover-or-us/peoplemover-or-us.zip,https://storage.googleapis.com/storage/v1/b/mdb-latest/o/us-oregon-people-mover-gtfs-112.zip?alt=media,,43.5730477,46.0523909,-121.300789,-116.9382,2022-03-14T21:12:26+00:00,,people-mover-grant-county/475
123,gtfs,US,Oregon,Roseburg,UTrans,,http://oregon-gtfs.com/gtfs_data/umpquatransit-or-us/umpquatransit-or-us.zip,https://storage.googleapis.com/storage/v1/b/mdb-latest/o/us-oregon-utrans-gtfs-123.zip?alt=media,,42.737182450611,43.695870028905,-124.17377849378,-123.01875661,2022-03-14T21:12:49+00:00,,utrans/486
