onestop_id,spec,urls.static_current,urls.realtime_vehicle_positions,urls.realtime_trip_updates,urls.realtime_alerts,agencies,last_fetch_at,last_fetch_success,last_fetch_response_code,last_ok_fetch_at,last_ok_fetch_success,last_ok_fetch_response_code,most_recent_feed_version_sha1,most_recent_feed_version_fetched_at,tag_status,tag_unstable_url,tag_manual_import,adm0_name0,adm1_name0,adm0_name1,adm1_name1,adm0_name2,adm1_name2,adm0_name3,adm1_name3,adm0_name4,adm1_name4
f-9q9-caltrain,GTFS,https://data.trilliumtransit.com/gtfs/caltrain-ca-us/caltrain-ca-us.zip,,,,,2025-01-17T23:28:16.836354Z,True,200,2025-01-17T23:28:16.836354Z,True,200,efbd295f5c2d1c2f9970d54fb373d0c0ede2885e,2025-01-09T06:57:05.60491Z,,,,,,,,,,,,,
f-9q9-bart,GTFS,http://www.bart.gov/dev/schedules/google_transit.zip,,,,,2025-01-17T20:54:45.58417Z,True,200,2025-01-17T20:54:45.58417Z,True,200,6352370ca026c3cb3d15464b817702ad9541d6e6,2025-01-11T08:38:10.259375Z,,,true,,,,,,,,,,
f-9q9-vta,GTFS,https://gtfs.vta.org/gtfs_vta.zip,,,,,2025-01-17T10:37:50.810715Z,True,200,2025-01-17T10:37:50.810715Z,True,200,dc19b80fe04ba1cd670767e4e2c3950de3ab8411,2025-01-09T20:01:15.30125Z,,,true,,,,,,,,,,
f-9q9-actransit,GTFS,https://api.actransit.org/transit/gtfs/download?token=2512B81107A09D2DC44895CDDC650D47,,,,,2025-01-17T21:29:00.219183Z,True,200,2025-01-17T21:29:00.219183Z,True,200,fd0165f5e932a499af5fc6e30e0512d00eba9c9b,2024-12-16T06:24:08.095786Z,,,true,,,,,,,,,,
f-dr5r-nyctsubway,GTFS,http://web.mta.info/developers/data/nyct/subway/google_transit.zip,,,,MTA New York City Transit,2025-01-17T12:55:12.222959Z,True,200,2025-01-17T12:55:12.222959Z,True,200,11479098416139209f5d363714d8e5e3df45ce27,2025-01-15T08:32:42.067892Z,,,,United States of America,New York,,,,,,,,
f-dr5r-mtanyctbusbrooklyn,GTFS,http://web.mta.info/developers/data/nyct/bus/google_transit_brooklyn.zip,,,,MTA New York City Transit,2025-01-17T07:14:05.177089Z,True,200,2025-01-17T07:14:05.177089Z,True,200,ab8804f862399cb87aadec48ed860edcd9d6d0ea,2025-01-01T00:57:09.395492Z,,,,United States of America,New York,,,,,,,,
f-dr5r-mtanyctbusmanhattan,GTFS,http://web.mta.info/developers/data/nyct/bus/google_transit_manhattan.zip,,,,MTA New York City Transit,2025-01-17T18:39:12.469402Z,True,200,2025-01-17T18:39:12.469402Z,True,200,7f28ec8ad237d4670b33add9efcae071b4545682,2025-01-01T13:13:44.336177Z,,,,United States of America,New York,,,,,,,,
f-dr5r-mtanyctbusstatenisland,GTFS,http://web.mta.info/developers/data/nyct/bus/google_transit_staten_island.zip,,,,MTA New York City Transit,2025-01-17T19:16:06.637765Z,True,200,2025-01-17T19:16:06.637765Z,True,200,698b289c722848ad7a386ea7a7f331b0dc39adb8,2025-01-01T14:50:36.662032Z,,,,United States of America,New Jersey,United States of America,New York,,,,,,
f-dr5x-mtanyctbusqueens,GTFS,http://web.mta.info/developers/data/nyct/bus/google_transit_queens.zip,,,,MTA New York City Transit,2025-01-17T23:21:08.10985Z,True,200,2025-01-17T23:21:08.10985Z,True,200,25aeddfe13fd1d331f3de03a2c925f88d5893712,2025-01-01T15:12:28.317701Z,,,,United States of America,New York,,,,,,,,
f-dr72-mtanyctbusbronx,GTFS,http://web.mta.info/developers/data/nyct/bus/google_transit_bronx.zip,,,,MTA New York City Transit,2025-01-17T16:30:44.370065Z,True,200,2025-01-17T16:30:44.370065Z,True,200,5f2a5dd98308df5ef634f683d9ed051c69426609,2025-01-01T10:38:46.043273Z,,,,United States of America,New York,,,,,,,,
f-dr5r-path~nj~us,GTFS,https://data.trilliumtransit.com/gtfs/path-nj-us/path-nj-us.zip,,,,Port Authority Trans-Hudson Corporation,2025-01-18T02:18:44.606983Z,True,200,2025-01-18T02:18:44.606983Z,True,200,efe0bc0cd3dfdc17e9df93863368aa8939e51f4a,2025-01-15T20:56:35.767588Z,,,,United States of America,New York,United States of America,New Jersey,,,,,,
f-9q8-samtrans,GTFS,http://www.samtrans.com/Assets/GTFS/samtrans/ST-GTFS.zip,,,,,2025-01-17T17:35:57.038132Z,True,200,2025-01-17T17:35:57.038132Z,True,200,2c8a89cc7d9f9ac904559f35551e7ab833af0cca,2024-12-29T04:12:00.891325Z,,,true,,,,,,,,,,
f-dr5r7-nycdotsiferry,GTFS,http://www.nyc.gov/html/dot/downloads/misc/siferry-gtfs.zip,,,,New York City Department of Transportation,2025-01-17T12:01:54.997411Z,True,200,2025-01-17T12:01:54.997411Z,True,200,e996a18ebc31e1aa85fd73fa74c4bf5b0443db34,2024-11-21T00:44:33.067414Z,,,,United States of America,New York,,,,,,,,
f-9q8y-sfmta,GTFS,http://api.511.org/transit/datafeeds?operator_id=SF,,,,,2025-01-17T14:30:50.632961Z,True,200,2025-01-17T14:30:50.632961Z,True,200,677e650e93d164986bfd4244bb8d32365d94aefb,2025-01-12T03:50:18.942906Z,,,true,,,,,,,,,,
f-dnh-marta,GTFS,https://www.itsmarta.com/google_transit_feed/google_transit.zip,,,,Metropolitan Atlanta Rapid Transit Authority,2025-01-18T02:33:47.627986Z,True,200,2025-01-18T02:33:47.627986Z,True,200,11a540f63c769c0b87153d4ba03f0cb2efc09aec,2024-12-13T03:21:04.78185Z,,,,United States of America,Georgia,,,,,,,,
