NTD ID,Agency Name,Reporter Type,Reporting Module,Mode,TOS,Weblink,Weblink Justification,Waived,Modified Date,Status,Status
1,King County,Full Reporter,Urban,FB,DO,https://metro.kingcounty.gov/GTFS/google_transit.zip,,,2024-01-17,Success (Retried with HTTP),Success (Retried with HTTP)
1,King County,Full Reporter,Urban,MB,DO,https://metro.kingcounty.gov/GTFS/google_transit.zip,,,2024-01-17,Success (Retried with HTTP),Success (Retried with HTTP)
1,King County,Full Reporter,Urban,MB,PT,https://metro.kingcounty.gov/GTFS/google_transit.zip,,,2024-01-17,Success (Retried with HTTP),Success (Retried with HTTP)
1,King County,Full Reporter,Urban,SR,DO,https://metro.kingcounty.gov/GTFS/google_transit.zip,,,2024-01-17,Success (Retried with HTTP),Success (Retried with HTTP)
1,King County,Full Reporter,Urban,TB,DO,https://metro.kingcounty.gov/GTFS/google_transit.zip,,,2024-01-17,Success (Retried with HTTP),Success (Retried with HTTP)
2,Spokane Transit Authority,Full Reporter,Urban,MB,DO,https://www.spokanetransit.com/gtfs,,,2023-12-20,Success,Success
3,Pierce County Transportation Benefit Area Authority,Full Reporter,Urban,MB,DO,https://prod.piercetransit.org/GTFS/gtfs.zip,,,2024-05-09,No results,No results
5,City of Everett,Full Reporter,Urban,MB,DO,https://everett.mapstrat.com/current/google_transit.zip,,,2024-03-21,No results,No results
7,Lane Transit District,Full Reporter,Urban,MB,DO,https://www.ltd.org/files/library/ltdgtfs.zip,,,2023-07-25,Success,Success
7,Lane Transit District,Full Reporter,Urban,MB,PT,https://oregon-gtfs.trilliumtransit.com/gtfs_data/rhodyexpress-or-us/rhodyexpress-or-us.zip,,,2023-07-25,Success,Success
7,Lane Transit District,Full Reporter,Urban,MB,PT,https://oregon-gtfs.trilliumtransit.com/gtfs_data/diamondexpress-or-us/diamondexpress-or-us.zip,,,2023-07-25,Success,Success
7,Lane Transit District,Full Reporter,Urban,RB,DO,https://www.ltd.org/files/library/ltdgtfs.zip,,,2023-07-25,Success,Success
8,Tri-County Metropolitan Transportation District of Oregon,Full Reporter,Urban,LR,DO,https://developer.trimet.org/schedule/gtfs.zip,,,2023-12-08,Success (Retried with HTTP),Success (Retried with HTTP)
8,Tri-County Metropolitan Transportation District of Oregon,Full Reporter,Urban,MB,DO,https://developer.trimet.org/schedule/gtfs.zip,,,2023-12-08,Success (Retried with HTTP),Success (Retried with HTTP)
8,Tri-County Metropolitan Transportation District of Oregon,Full Reporter,Urban,YR,PT,https://developer.trimet.org/schedule/gtfs.zip,,,2023-12-08,Success (Retried with HTTP),Success (Retried with HTTP)
10,Klamath Tribes,Reduced Reporter,Tribe,CB,DO,https://rapid.nationalrtap.org/GTFSFileManagement/UserUploadFiles/11851/TheKlamathTribesGTFS.zip,,,2024-06-07,No results,No results
11,Valley Regional Transit,Full Reporter,Urban,MB,PT,https://www.valleyregionaltransit.org/GTFS/vrt_transit1.zip,,,2024-01-18,Success,Success
12,Municipality of Anchorage,Full Reporter,Urban,MB,DO,https://gtfs.muni.org/People_Mover.gtfs.zip,,,2024-05-03,Success (Retried with HTTP),Success (Retried with HTTP)
14,Sitka Tribe of Alaska,Reduced Reporter,Tribe,MB,DO,https://www.sitkatribe.org,,True,2024-05-01,No results,No results
16,City of Longview,Full Reporter,Urban,MB,DO,https://data.trilliumtransit.com/gtfs/rivercitiestransit-wa-us/rivercitiestransit-wa-us.zip,,,2024-06-26,Success,Success
18,Ben Franklin Transit,Full Reporter,Urban,MB,DO,https://myride.bft.org/Static/google_transit.zip,,,2024-06-13,No results,No results
19,Intercity Transit,Full Reporter,Urban,CB,DO,https://its.rideralerts.com/InfoPoint/gtfs-zip.ashx,,,2024-05-08,Success,Success
19,Intercity Transit,Full Reporter,Urban,MB,DO,https://its.rideralerts.com/InfoPoint/gtfs-zip.ashx,,,2024-05-08,Success,Success
20,Kitsap County Public Transportation Benefit Area Authority,Full Reporter,Urban,FB,DO,http://pride.kitsaptransit.com/gtfs/google_transit.zip,,,2024-05-08,Success,Success
20,Kitsap County Public Transportation Benefit Area Authority,Full Reporter,Urban,MB,DO,http://pride.kitsaptransit.com/gtfs/google_transit.zip,,,2023-08-31,Success,Success
