,country,metro,name,onestop_id,represented_in_feed_onestop_ids,short_name,state,tags,timezone,website
0,US,San Francisco Bay Area,Caltrain,o-9q9-caltrain,['f-9q9-caltrain'],,US-CA,{'us_ntd_id': '9134'},America/Los_Angeles,http://www.caltrain.com/
1,US,San Francisco Bay Area,Bay Area Rapid Transit,o-9q9-bart,"['f-9q9-bart', 'f-bart~rt']",BART,US-CA,{'us_ntd_id': '90003'},America/Los_Angeles,https://bart.gov
2,US,San Francisco Bay Area,Santa Clara Valley Transportation Authority,o-9q9-vta,['f-9q9-vta'],VTA,US-CA,{'us_ntd_id': '90013'},America/Los_Angeles,http://www.vta.org/
3,US,San Francisco Bay Area,Alameda-Contra Costa Transit District,o-9q9-actransit,"['f-9q9-actransit', 'f-actransit~rt']",AC Transit,US-CA,{'us_ntd_id': '9014'},America/Los_Angeles,http://www.actransit.org/
4,US,New York City,MTA New York City Transit,o-dr5r-nyct,"['f-dr5r-nyctsubway', 'f-dr5r-mtanyctbusbrooklyn', 'f-dr5r-mtanyctbusmanhattan', 'f-dr5r-mtanyctbusstatenisland', 'f-dr5x-mtanyctbusqueens', 'f-dr72-mtanyctbusbronx', 'f-dr5r-mtabc', 'f-dr5r-mtanewyorkcitytransit', 'f-dr7-mtanyc~metro~north']",MTA,US-NY,"{'us_ntd_id': '20008', 'us_ntd_id2': '20188'}",America/New_York,http://web.mta.info/
5,US,New York City,Port Authority Trans-Hudson,o-dr5r-path,['f-dr5r-path~nj~us'],PATH,US-NY,{'us_ntd_id': '2075'},America/New_York,http://www.panynj.gov/
6,US,San Francisco Bay Area,San Mateo County Transit District,o-9q8-samtrans,['f-9q8-samtrans'],samTrans,US-CA,{'us_ntd_id': '90009'},America/Los_Angeles,http://www.samtrans.com/
7,US,New York City,New York City Department of Transportation,o-dr5r7-nycdot,['f-dr5r7-nycdotsiferry'],NYC DOT,US-NY,{'us_ntd_id': '20082'},America/New_York,http://nyc.gov/dot
8,US,San Francisco Bay Area,San Francisco Municipal Transportation Agency,o-9q8y-sfmta,['f-9q8y-sfmta'],SFMTA,US-CA,{'us_ntd_id': '90015'},America/Los_Angeles,http://www.sfmta.com/
9,US,Atlanta,Metropolitan Atlanta Rapid Transit Authority,o-dnh-metropolitanatlantarapidtransitauthority,"['f-dnh-marta', 'f-marta~rt']",MARTA,US-GA,"{'agency_id': 'MARTA', 'agency_lang': 'en', 'agency_phone': '(404)848-5000'}",America/New_York,http://www.itsmarta.com
